rep,id,k,V,TS0,kge,kgl,TSmax,kkill,tau,k1
1,11,31910,0.00288552,54.272,24.2413,0.231626,7223.2,22.6417,9.99599,153.151
2,11,2.23058e+07,0.0118427,54.1521,0.220065,0.262506,104.343,13.8505,14.8151,156.469
3,11,1.14487e+09,2.93193,50.8726,0.13163,0.202088,5171.6,23.0282,9.3889,207.83
1,12,4.49808e-08,0.0104003,83.3857,0.00125639,0.355132,1064.73,11.0026,6.89246,209.687
2,12,2.14137,31.3774,92.8544,2.37321,0.473693,76.1462,24.1205,2.25824,385.539
3,12,1.69458e+06,0.00667495,90.4424,1.73841,0.156253,117.498,14.7005,4.63033,216.604
1,13,4072.53,0.0658455,35.1304,0.575739,0.368285,286.196,17.2003,4.73505,557.819
2,13,8.73331e+06,0.0143401,35.8548,0.774979,0.374562,1911.72,8.852,1.85845,252.135
3,13,3.14188e-06,0.0152398,34.8798,3.42516,0.409854,715.062,13.3113,3.83438,558.777
1,14,302658,0.121919,34.2916,0.0451204,0.209862,101.364,17.1238,6.95073,137.768
2,14,0.000133889,0.00115873,33.0635,12.5741,0.210114,80.7036,15.971,7.52388,151.366
3,14,0.0152185,0.307952,33.7289,0.00203444,0.681684,5854.72,21.502,8.71135,345.094
1,15,703.844,0.142297,60.5506,0.288485,0.730451,1867.79,34.7424,3.89798,175.801
2,15,0.924446,0.00392148,63.2816,3.44876,1.50655,1630.42,19.0052,6.54765,47.8951
3,15,0.0192655,0.00199581,61.1455,3.74534,1.22135,17905.5,37.9052,6.02682,104.666
1,16,187154,0.0748669,44.7821,0.108656,0.305205,4234.24,16.5646,2.89564,167.446
2,16,2.97973e-05,0.00395808,44.9541,0.196741,0.412471,1043.06,28.7954,3.93053,173.727
3,16,0.139786,0.0426681,43.3957,0.015716,0.43814,958.36,20.1526,4.77029,124.352
1,17,9.58664e-05,0.166268,44.4127,0.0194505,0.495846,616.59,25.739,3.37132,330.481
2,17,1.66417,0.0260842,45.1087,2.11933,0.612183,373.029,16.145,4.57914,173.046
3,17,1.64833e+11,0.00681222,46.0666,0.0225758,0.509954,39014.8,22.2797,2.68523,272.371
1,18,0.000315525,0.00251123,45.8022,2.92449,0.437775,1876.63,15.3607,0.656765,172.624
2,18,0.0720039,0.000200031,46.4203,2.22565,0.412848,1914.17,14.0634,0.923837,138.358
3,18,0.00321442,0.031729,52.182,0.334836,0.506826,1298.23,16.1211,0.780608,134.624
1,19,9.25552e-14,0.00321319,80.8162,6.54028,0.309743,1811.2,6.81059,1.40086,333.626
2,19,0.0363984,0.00249124,81.3659,0.237133,0.38397,697.072,9.89817,1.99723,364.759
3,19,25465.7,0.000643802,73.5556,0.0109381,0.448662,459.521,11.31,3.82482,561.009
1,20,1.12147e+07,0.00054598,49.018,4.44442,0.87865,378.328,11.1552,0.42224,178.048
2,20,1.30726e-05,0.0224772,47.5003,2604.59,0.389985,1275.67,15.2412,2.62175,255.365
3,20,0.000157583,0.918499,44.13,310.301,1.73435,5869.92,25.5334,0.622266,235.45
1,21,27129,0.00656723,63.7282,0.0496431,0.260145,3084.04,14.23,7.69374,376.248
2,21,0.0336095,0.186894,69.5193,2.79242,0.639571,290.596,11.3732,4.33804,198.348
3,21,4.00747,0.349347,66.0633,0.00267541,0.471578,5480.75,17.9897,10.2435,171.713
